名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
紫金炉里把香焚,江苏省,海安县,六声,宫调,0.282993197,2.393212919,0.681469001,2.380952381,0.086956522,0.108695652,0,0.239130435,0,0.108695652,0.065217391,0,0.304347826,0,0.086956522,0,0
结上姐姐在茅山,江苏省,兴化市,六声,徵调,0.298366013,5.720565561,0.724833572,2.264705882,0.042253521,0.126760563,0,0.147887324,0,0.112676056,0,0,0.274647887,0,0.281690141,0,0.014084507
绣荷包(二),江苏省,无锡市,六声,宫调,0.260679612,4.423434324,0.804796779,1.908256881,0,0.201834862,0,0.100917431,0,0.174311927,0,0,0.256880734,0,0.247706422,0,0.018348624
绣荷包,江苏省,高淳县,五声,徵调,0.495901639,3.644130733,0.438163797,2.137931034,0,0.137931034,0,0.137931034,0,0.120689655,0,0,0.103448276,0,0.5,0,0
罱出河泥成小山,江苏省,江阴市,六声,宫调,0.41637931,2.700660982,0.653834292,3.746031746,0.015625,0.203125,0,0.203125,0,0.140625,0.046875,0,0.25,0,0.140625,0,0
茉莉花(一),江苏省,六合县,五声,徵调,0.258682635,7.672628649,0.821040281,1.6,0,0.228571429,0,0.2,0,0.2,0,0,0.2,0,0.171428571,0,0
荒年歌,江苏省,常熟市,五声,羽调,0.40820802,9.245480165,1.01022238,2.363905325,0.025936599,0.239193084,0,0.181556196,0,0.141210375,0,0,0.201729107,0,0.21037464,0,0
莫把号子歇了台,江苏省,盐城市,五声,商调,0.274299065,3.680069253,0.633971954,2.95890411,0.075949367,0.126582278,0,0.253164557,0,0.14556962,0,0,0.202531646,0,0.196202532,0,0
莲花板儿响叮当,江苏省,如皋市,五声,徵调,0.367532468,4.004139854,0.573350763,1.813953488,0.011494253,0.206896552,0,0.287356322,0,0.114942529,0,0,0.149425287,0,0.229885057,0,0
莳秧要唱莳秧歌(一),江苏省,太仓市,五声,商调,0.530881332,4.606942873,0.873275702,2.830078125,0.015384615,0.230769231,0,0.223076923,0,0.069230769,0,0,0.169230769,0,0.292307692,0,0
菜农戽水号子,江苏省,连云港市,五声,徵调,0.533064516,2.087950024,0.713636703,1.454545455,0,0.181818182,0,0.181818182,0,0.136363636,0,0,0.295454545,0,0.204545455,0,0
